"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
"La Paz BCS, Baja California Sur","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Playa del Carmen, Quintana Roo","Tomas con servicio continuo (%)","64.04","48.92","59.17","65.63","","","100","100","100","12.55","13.02","87.17","100",""
"Felipe Carrillo Puerto, Quintana Roo","Tomas con servicio continuo (%)","","","90.71","","","","","","","","","","","18.21"
"Cozumel, Quintana Roo","Tomas con servicio continuo (%)","97.68","98.12","98.93","99.83","99.84","99.78","99.48","90.31","100","100","100","","100.31",""
"Cd. Juárez, Chihuahua","Tomas con servicio continuo (%)","","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Tlalnepantla, México","Tomas con servicio continuo (%)","90","89.56","89.59","89.45","","64.75","","71.46","","","89.45","89.45","92.07","100.02"
"Chihuahua, Chihuahua","Tomas con servicio continuo (%)","","","","","","","","","","","","14.15","",""
"Cd. Valles, San Luis Potosí","Tomas con servicio continuo (%)","","97.42","99.34","98.79","100","100","100","100","100","100","100","100","100","100"
"Quiroga, Michoacán","Tomas con servicio continuo (%)","","","86.94","85.76","83.41","82.39","82.39","78.57","76.31","75.19","74.28","2.13","2.12","2.1"
"Guadalajara, Jalisco","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Fresnillo, Zacatecas","Tomas con servicio continuo (%)","51.44","84.32","84.46","66.05","79.45","95.04","57.23","64.9","64.08","29.74","29.17","28.18","30.21","27.54"
"Aguascalientes, Aguascalientes","Tomas con servicio continuo (%)","","","","80","80","80","80","80","80","80","80","80","80","80"
"Tepic, Nayarit","Tomas con servicio continuo (%)","","","","8.5","8","4.98","5","4.89","5.02","4.98","5.98","5.87","",""
"Nezahualcóyotl, México","Tomas con servicio continuo (%)","","100","100","100","100","100","","100","100","100","100","100","",""
"Pachuca, Hidalgo","Tomas con servicio continuo (%)","","","","","16.61","47","35.35","50.3","56.87","70.85","68.15","68.27","68.72","46.49"
"Abasolo, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
