CVE_SUN,CVE_ENT,CVE_MUN,CVE_SUNMUN,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,TIPO_SUN,SUBSIS_PPAL
001,01,01001,00101001,Aguascalientes,Aguascalientes,,,Aguascalientes,1,1
001,01,01005,00101005,Aguascalientes,Jesús María,,,Aguascalientes,1,1
001,01,01011,00101011,Aguascalientes,San Francisco de los Romo,,,Aguascalientes,1,1
002,02,02003,00202003,Baja California,Tecate,,,Tijuana,1,1
002,02,02004,00202004,Baja California,Tijuana,,,Tijuana,1,1
002,02,02005,00202005,Baja California,Playas de Rosarito,,,Tijuana,1,1
003,02,02002,00302002,Baja California,Mexicali,,,Mexicali,1,1
004,05,05017,00405017,Coahuila de Zaragoza,Matamoros,,,La Laguna,1,1
004,05,05035,00405035,Coahuila de Zaragoza,Torreón,,,La Laguna,1,1
004,10,10007,00410007,Durango,Gómez Palacio,,,La Laguna,1,1
004,10,10012,00410012,Durango,Lerdo,,,La Laguna,1,1
005,05,05004,00505004,Coahuila de Zaragoza,Arteaga,,,Saltillo,1,1
005,05,05027,00505027,Coahuila de Zaragoza,Ramos Arizpe,,,Saltillo,1,1
005,05,05030,00505030,Coahuila de Zaragoza,Saltillo,,,Saltillo,1,1
006,05,05006,00605006,Coahuila de Zaragoza,Castaños,,,Monclova-Frontera,1,1
006,05,05010,00605010,Coahuila de Zaragoza,Frontera,,,Monclova-Frontera,1,1
006,05,05018,00605018,Coahuila de Zaragoza,Monclova,,,Monclova-Frontera,1,1
007,05,05022,00705022,Coahuila de Zaragoza,Nava,,,Piedras Negras,1,1
007,05,05025,00705025,Coahuila de Zaragoza,Piedras Negras,,,Piedras Negras,1,1
008,06,06002,00806002,Colima,Colima,,,Colima-Villa de Álvarez,1,1
008,06,06003,00806003,Colima,Comala,,,Colima-Villa de Álvarez,1,1
008,06,06004,00806004,Colima,Coquimatlán,,,Colima-Villa de Álvarez,1,1
008,06,06005,00806005,Colima,Cuauhtémoc,,,Colima-Villa de Álvarez,1,1
008,06,06010,00806010,Colima,Villa de Álvarez,,,Colima-Villa de Álvarez,1,1
009,06,06001,00906001,Colima,Armería,,,Tecomán,1,1
009,06,06009,00906009,Colima,Tecomán,,,Tecomán,1,1
010,07,07012,01007012,Chiapas,Berriozábal,,,Tuxtla Gutiérrez,1,1
010,07,07027,01007027,Chiapas,Chiapa de Corzo,,,Tuxtla Gutiérrez,1,1
010,07,07101,01007101,Chiapas,Tuxtla Gutiérrez,,,Tuxtla Gutiérrez,1,1
